,Unnamed: 0,entity,offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%,lifespan_days,region,y_pred,America,Central_Asia,East_Asia_Pac,Euro_Africa
651,930,Entity 1804,-8.0,0.0204081632653061,0.0612244897959183,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0816326530612244,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0612244897959183,0.0408163265306122,0.0816326530612244,0.0612244897959183,0.0408163265306122,0.0612244897959183,0.0408163265306122,0.0408163265306122,0.0408163265306122,25,3.218875824868201,12,1.2246467991473532e-16,-1.0,0.1224489795918367,3657.2562152777778,America,America,0.62339884,0.11322896,0.08557275,0.17779942
795,1476,Entity 2297,7.0,0.0188679245283018,0.0188679245283018,0.0377358490566037,0.0754716981132075,0.0566037735849056,0.0566037735849056,0.0377358490566037,0.0377358490566037,0.0188679245283018,0.0566037735849056,0.0943396226415094,0.0188679245283018,0.0377358490566037,0.1132075471698113,0.0377358490566037,0.0377358490566037,0.0566037735849056,0.0377358490566037,0.0566037735849056,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,29,3.367295829986474,21,-0.7071067811865477,0.7071067811865474,0.0943396226415094,3479.476574074074,East_Asia_Pac,Central_Asia,0.047409657,0.60012096,0.2974176,0.05505175
1128,3405,Entity 402,-5.0,0.0384615384615384,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0576923076923076,0.0576923076923076,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.0576923076923076,0.0384615384615384,0.0576923076923076,0.0192307692307692,28,3.332204510175204,9,0.7071067811865476,-0.7071067811865475,0.0961538461538461,1645.5016203703703,America,America,0.76783603,0.07405989,0.029847065,0.12825705
236,290,Entity 124,5.5,0.002906976744186,0.002906976744186,0.0232558139534883,0.0959302325581395,0.0930232558139534,0.0784883720930232,0.0552325581395348,0.0813953488372093,0.0581395348837209,0.0348837209302325,0.0581395348837209,0.063953488372093,0.0755813953488372,0.0406976744186046,0.0319767441860465,0.0494186046511627,0.066860465116279,0.0523255813953488,0.0174418604651162,0.002906976744186,0.002906976744186,0.002906976744186,0.005813953488372,0.002906976744186,320,5.768320995793772,21,-0.7071067811865477,0.7071067811865474,0.0174418604651162,835.8169444444444,Central_Asia,Central_Asia,0.027954152,0.63920844,0.2897543,0.043083083
814,1567,Entity 2380,-8.0,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0465116279069767,0.0465116279069767,0.0697674418604651,0.0465116279069767,0.0465116279069767,0.1162790697674418,0.0697674418604651,0.1395348837209302,0.0232558139534883,19,2.9444389791664403,4,0.8660254037844386,0.5000000000000001,0.1162790697674418,1268.926238425926,America,Euro_Africa,0.24107821,0.056992784,0.03187183,0.6700572
1787,4463,Entity 858,5.5,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666666,0.0625,0.0625,0.0625,0.0208333333333333,0.0208333333333333,0.0416666666666666,0.0416666666666666,0.0208333333333333,0.0833333333333333,0.0416666666666666,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0208333333333333,0.0208333333333333,0.0208333333333333,24,3.1780538303479458,23,-0.2588190451025215,0.965925826289068,0.1041666666666666,111.31940972222222,Central_Asia,Central_Asia,0.09684282,0.64101577,0.17501219,0.087129265
855,1757,Entity 2537,-3.0,0.073170731707317,0.0975609756097561,0.048780487804878,0.073170731707317,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.048780487804878,0.073170731707317,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.048780487804878,0.073170731707317,0.024390243902439,0.024390243902439,0.048780487804878,0.073170731707317,0.024390243902439,17,2.833213344056216,6,1.0,6.123233995736766e-17,0.1219512195121951,216.2614583333333,America,America,0.38114724,0.1260535,0.252419,0.24038026
221,267,Entity 1219,1.0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.1428571428571428,0.0816326530612244,0.0408163265306122,0.0816326530612244,0.0612244897959183,0.0816326530612244,0.0204081632653061,0.0204081632653061,0.0612244897959183,25,3.218875824868201,8,0.8660254037844387,-0.4999999999999998,0.1224489795918367,716.2091203703703,Euro_Africa,Euro_Africa,0.27269188,0.20136175,0.11749742,0.408449
87,107,Entity 10802,7.0,0.029126213592233,0.0097087378640776,0.0194174757281553,0.0679611650485436,0.0970873786407767,0.0388349514563106,0.029126213592233,0.0388349514563106,0.0097087378640776,0.0485436893203883,0.058252427184466,0.0097087378640776,0.0097087378640776,0.0194174757281553,0.1067961165048543,0.029126213592233,0.029126213592233,0.029126213592233,0.0679611650485436,0.0970873786407767,0.087378640776699,0.0485436893203883,0.0097087378640776,0.0097087378640776,79,4.3694478524670215,0,0.0,1.0,0.0776699029126213,3405.231400462963,East_Asia_Pac,Euro_Africa,0.27338576,0.29474783,0.12964746,0.30221897
1532,4127,Entity 639,5.5,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0851063829787234,0.0638297872340425,0.0425531914893617,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.0212765957446808,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.0212765957446808,0.1702127659574468,0.0212765957446808,0.0851063829787234,0.0425531914893617,0.0638297872340425,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0212765957446808,23,3.1354942159291497,22,-0.5000000000000004,0.8660254037844384,0.1063829787234042,104.44914351851853,Central_Asia,Central_Asia,0.062849365,0.63769007,0.20211934,0.09734124
