entity,region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%
Entity 1005,Central_Asia,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.09523809523809523,0.06349206349206349,0.047619047619047616,0.09523809523809523,0.06349206349206349,0.015873015873015872,0.047619047619047616,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.047619047619047616,0.07936507936507936,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.015873015873015872,39,3.6635616461296463,22,-0.5000000000000004,0.8660254037844384,0.1111111111111111
Entity 1006,Central_Asia,0.011904761904761904,0.017857142857142856,0.03273809523809524,0.03571428571428571,0.05952380952380952,0.02976190476190476,0.03273809523809524,0.026785714285714284,0.026785714285714284,0.03869047619047619,0.03869047619047619,0.0625,0.05357142857142857,0.08035714285714286,0.03869047619047619,0.0625,0.047619047619047616,0.05654761904761905,0.08928571428571429,0.06845238095238096,0.05357142857142857,0.017857142857142856,0.008928571428571428,0.008928571428571428,312,5.7430031878094825,23,-0.25881904510252157,0.9659258262890681,0.06547619047619047
Entity 10068,Euro_Africa,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1,0.0,7,0.9659258262890683,-0.25881904510252063,0.2
Entity 1007,East_Asia_Pac,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.14545454545454545,0.03636363636363636,0.16363636363636364,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.14545454545454545,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,31,3.4339872044851463,20,-0.8660254037844386,0.5000000000000001,0.09090909090909091
Entity 10072,America,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,2,0.6931471805599453,2,0.49999999999999994,0.8660254037844387,0.19230769230769232
Entity 10076,America,0.02857142857142857,0.01904761904761905,0.12380952380952381,0.0380952380952381,0.02857142857142857,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.02857142857142857,0.01904761904761905,0.047619047619047616,0.05714285714285714,0.02857142857142857,0.0380952380952381,0.047619047619047616,0.009523809523809525,0.01904761904761905,0.047619047619047616,0.05714285714285714,0.047619047619047616,0.047619047619047616,0.0380952380952381,0.02857142857142857,0.0380952380952381,81,4.394449154672439,14,-0.4999999999999997,-0.8660254037844388,0.14285714285714288
Entity 1008,East_Asia_Pac,0.017857142857142856,0.03571428571428571,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.05357142857142857,0.05357142857142857,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.08928571428571429,0.05357142857142857,0.05357142857142857,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.03571428571428571,0.03571428571428571,32,3.4657359027997265,18,-1.0,-1.8369701987210297e-16,0.125
Entity 1009,Euro_Africa,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.06451612903225806,0.08064516129032258,0.08064516129032258,0.08064516129032258,0.03225806451612903,0.04838709677419355,0.0967741935483871,0.12903225806451613,0.016129032258064516,0.06451612903225806,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,38,3.6375861597263857,2,0.49999999999999994,0.8660254037844387,0.08064516129032258
Entity 10093,East_Asia_Pac,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.1388888888888889,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,12,2.4849066497880004,13,-0.2588190451025208,-0.9659258262890683,0.1388888888888889
Entity 101,Euro_Africa,0.01639344262295082,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.11475409836065574,0.08196721311475409,0.04918032786885246,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.06557377049180328,0.09016393442622951,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.040983606557377046,0.04918032786885246,0.04918032786885246,0.040983606557377046,0.040983606557377046,98,4.584967478670572,3,0.7071067811865476,0.7071067811865476,0.04098360655737705
Entity 1010,Euro_Africa,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,7,1.9459101490553132,2,0.49999999999999994,0.8660254037844387,0.16129032258064516
Entity 10107,America,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,3,1.0986122886681098,7,0.9659258262890683,-0.25881904510252063,0.18518518518518517
Entity 1011,Euro_Africa,0.07142857142857142,0.017857142857142856,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.14285714285714285,0.017857142857142856,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.07142857142857142,0.05357142857142857,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.03571428571428571,32,3.4657359027997265,6,1.0,6.123233995736766e-17,0.10714285714285712
Entity 10113,America,0.07476635514018691,0.06542056074766354,0.028037383177570093,0.04672897196261682,0.037383177570093455,0.028037383177570093,0.056074766355140186,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.037383177570093455,0.037383177570093455,0.04672897196261682,0.037383177570093455,0.037383177570093455,0.06542056074766354,0.056074766355140186,0.06542056074766354,0.009345794392523364,0.009345794392523364,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.028037383177570093,83,4.418840607796598,20,-0.8660254037844386,0.5000000000000001,0.12149532710280372
Entity 1013,Central_Asia,0.018292682926829267,0.012195121951219513,0.018292682926829267,0.03048780487804878,0.024390243902439025,0.03048780487804878,0.03048780487804878,0.036585365853658534,0.042682926829268296,0.09146341463414634,0.036585365853658534,0.024390243902439025,0.11585365853658537,0.1402439024390244,0.036585365853658534,0.04878048780487805,0.036585365853658534,0.054878048780487805,0.03048780487804878,0.012195121951219513,0.036585365853658534,0.03048780487804878,0.024390243902439025,0.036585365853658534,140,4.941642422609304,2,0.49999999999999994,0.8660254037844387,0.10365853658536585
Entity 1014,East_Asia_Pac,0.015873015873015872,0.015873015873015872,0.1746031746031746,0.015873015873015872,0.031746031746031744,0.1111111111111111,0.015873015873015872,0.23809523809523808,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.015873015873015872,0.015873015873015872,39,3.6635616461296463,23,-0.25881904510252157,0.9659258262890681,0.07936507936507936
